id,layer,domain,mechanism,source,definition,disposition,validation,implementation
M260,UGTS-KC 3.0 engineering expansion,Differential geometry,Covariant derivative contract,UGTS-KC 3.0 engineering expansion,Differentiate vector fields with an explicit connection or chart metric; ordinary component derivatives are not coordinate invariant.,ENGINEERING,Specified,schema differential.connection
M261,UGTS-KC 3.0 engineering expansion,Differential geometry,Lie bracket of vector fields,UGTS-KC 3.0 engineering expansion,"Commutator [X,Y]=DY*X-DX*Y used to expose noncommuting local flows.",ENGINEERING,Implemented + tested,kinematics.lie_bracket_2d
M262,UGTS-KC 3.0 engineering expansion,Lie kinematics,Adjoint frame transfer,UGTS-KC 3.0 engineering expansion,Transform twists and wrenches between rigid frames with the SE(3) adjoint.,ENGINEERING,Implemented + tested,kinematics.se3_adjoint
M263,UGTS-KC 3.0 engineering expansion,Lie kinematics,SE(3) left Jacobian,UGTS-KC 3.0 engineering expansion,Velocity-to-displacement Jacobian with stable small-angle series.,ENGINEERING,Implemented + tested,kinematics.so3_left_jacobian
M264,UGTS-KC 3.0 engineering expansion,Lie kinematics,SE(3) logarithm,UGTS-KC 3.0 engineering expansion,Recover a bounded rigid-body twist from a transform under a declared rotation branch.,ENGINEERING,Prototype + tested,kinematics.se3_log
M265,UGTS-KC 3.0 engineering expansion,Lie kinematics,Dual-quaternion rigid transform,UGTS-KC 3.0 engineering expansion,Represent rotation and translation by a normalized real/dual quaternion pair.,ENGINEERING,Implemented + tested,kinematics.DualQuaternion
M266,UGTS-KC 3.0 engineering expansion,Lie kinematics,Dual-quaternion blending,UGTS-KC 3.0 engineering expansion,Weighted normalized blend for rigid transforms with hemisphere alignment; not a general deformation theorem.,ENGINEERING,Implemented + tested,kinematics.blend_dual_quaternions
M267,UGTS-KC 3.0 engineering expansion,Manifold kinematics,Geodesic interpolation,UGTS-KC 3.0 engineering expansion,Interpolate state on a declared manifold using exp/log or a retraction rather than component-wise blending.,ENGINEERING,Implemented + tested,kinematics.rigid_geodesic_interpolate
M268,UGTS-KC 3.0 engineering expansion,Manifold kinematics,Retraction update,UGTS-KC 3.0 engineering expansion,Map tangent increments back to a manifold when a full exponential is unavailable.,ENGINEERING,Specified,schema dynamics.retraction
M269,UGTS-KC 3.0 engineering expansion,Differential kinematics,Curvature and torsion invariant,UGTS-KC 3.0 engineering expansion,Compute curvature and torsion from first three derivatives with degeneracy status.,ENGINEERING,Implemented + tested,kinematics.curvature_and_torsion
M270,UGTS-KC 3.0 engineering expansion,Frame transport,Bishop-frame holonomy,UGTS-KC 3.0 engineering expansion,Accumulate net normal-frame rotation after parallel transport around a closed path.,ENGINEERING,Prototype + tested,kinematics.bishop_holonomy
M271,UGTS-KC 3.0 engineering expansion,Trajectory timing,Limit-aware time scaling,UGTS-KC 3.0 engineering expansion,"Compute monotone path timing under velocity, acceleration and jerk budgets.",ENGINEERING,Prototype + tested,kinematics.limit_aware_time_scale
M272,UGTS-KC 3.0 engineering expansion,Trajectory synthesis,Differential flatness reconstruction,UGTS-KC 3.0 engineering expansion,Recover state and controls from a flat output for a declared model such as a planar unicycle.,ENGINEERING,Implemented + tested,kinematics.unicycle_from_flat_output
M273,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Holonomic constraint manifold,UGTS-KC 3.0 engineering expansion,"Equality constraint phi(q,t)=0 with value, Jacobian and tolerance contracts.",ENGINEERING,Implemented + tested,constraints.HolonomicConstraint
M274,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Nonholonomic Pfaffian constraint,UGTS-KC 3.0 engineering expansion,"Velocity constraint A(q,t)*qdot=b(q,t) that cannot generally be integrated to position-only form.",ENGINEERING,Specified,schema constraints.pfaffian
M275,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Constraint Jacobian,UGTS-KC 3.0 engineering expansion,"Derivative J=partial phi/partial q used for projection, multipliers and rank checks.",ENGINEERING,Implemented + tested,constraints.numeric_jacobian
M276,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Baumgarte stabilization,UGTS-KC 3.0 engineering expansion,"Feedback term -2*zeta*omega*phi_dot-omega^2*phi to control drift, with explicit tuning.",ENGINEERING,Implemented + tested,constraints.baumgarte_term
M277,UGTS-KC 3.0 engineering expansion,Constraint dynamics,SHAKE position projection,UGTS-KC 3.0 engineering expansion,Iteratively project a trial position onto holonomic constraints within tolerance.,ENGINEERING,Implemented + tested,constraints.shake_project_circle
M278,UGTS-KC 3.0 engineering expansion,Constraint dynamics,RATTLE velocity projection,UGTS-KC 3.0 engineering expansion,Project velocity to the tangent space after the position correction.,ENGINEERING,Implemented + tested,constraints.rattle_project_velocity_circle
M279,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Lagrange multiplier solve,UGTS-KC 3.0 engineering expansion,Solve constrained acceleration or impulse through J M^-1 J^T with singularity status.,ENGINEERING,Implemented + tested,constraints.solve_single_multiplier
M280,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Null-space constrained acceleration,UGTS-KC 3.0 engineering expansion,Project unconstrained acceleration into the Jacobian null space.,ENGINEERING,Implemented + tested,constraints.project_to_nullspace_single
M281,UGTS-KC 3.0 engineering expansion,Contact calculus,Unilateral gap function,UGTS-KC 3.0 engineering expansion,"Signed separation g(q)>=0 distinguishes open, touching and penetrating states.",ENGINEERING,Implemented + tested,constraints.gap_plane
M282,UGTS-KC 3.0 engineering expansion,Contact calculus,Complementarity contact condition,UGTS-KC 3.0 engineering expansion,"Normal impulse lambda>=0, gap velocity/acceleration >=0 and lambda*g=0 under a declared time-stepping model.",ENGINEERING,Implemented + tested,constraints.complementarity_residual
M283,UGTS-KC 3.0 engineering expansion,Contact calculus,Normal impact impulse,UGTS-KC 3.0 engineering expansion,Impulse along contact normal computed from effective mass and relative normal velocity.,ENGINEERING,Implemented + tested,constraints.normal_impact_impulse
M284,UGTS-KC 3.0 engineering expansion,Contact calculus,Coefficient-of-restitution law,UGTS-KC 3.0 engineering expansion,Post-impact separating velocity is bounded by a declared restitution coefficient and activation threshold.,ENGINEERING,Implemented + tested,constraints.restitution_target_velocity
M285,UGTS-KC 3.0 engineering expansion,Contact calculus,Coulomb friction cone,UGTS-KC 3.0 engineering expansion,Tangential impulse norm is bounded by mu times normal impulse.,ENGINEERING,Implemented + tested,constraints.clamp_friction_cone_2d
M286,UGTS-KC 3.0 engineering expansion,Contact calculus,Friction-pyramid approximation,UGTS-KC 3.0 engineering expansion,Polyhedral approximation of the friction cone for linear or complementarity solvers.,ENGINEERING,Implemented + tested,constraints.clamp_friction_pyramid_2d
M287,UGTS-KC 3.0 engineering expansion,Contact calculus,Contact manifold reduction and warm start,UGTS-KC 3.0 engineering expansion,Select a bounded representative contact set and seed the next solve from cached impulses.,ENGINEERING,Prototype + tested,constraints.reduce_contacts; constraints.apply_warm_start
M288,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Guard direction classification,UGTS-KC 3.0 engineering expansion,"Classify rising, falling, neutral and indeterminate crossings from guard values and derivatives.",ENGINEERING,Implemented + tested,events.crossing_direction
M289,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Tangency event classification,UGTS-KC 3.0 engineering expansion,"Distinguish crossing, touch, coincident and unresolved cases using value/derivative tolerances.",ENGINEERING,Implemented + tested,events.classify_tangency
M290,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Grazing-bifurcation marker,UGTS-KC 3.0 engineering expansion,Emit a diagnostic when a guard touches zero with near-zero normal velocity and changes event topology.,ENGINEERING,Implemented + tested,events.grazing_marker
M291,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Simultaneous event equivalence class,UGTS-KC 3.0 engineering expansion,Group event times within a declared temporal enclosure before transition resolution.,ENGINEERING,Implemented + tested,events.group_simultaneous_events
M292,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Event priority partial order,UGTS-KC 3.0 engineering expansion,"Resolve dependencies through an acyclic precedence graph, not an undocumented list order.",ENGINEERING,Implemented + tested,events.topological_event_order
M293,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Deterministic tie-break key,UGTS-KC 3.0 engineering expansion,"Stable key from time bucket, priority, relation ID and lineage hash.",ENGINEERING,Implemented + tested,events.event_tie_break_key
M294,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Zeno accumulation detector,UGTS-KC 3.0 engineering expansion,Detect shrinking inter-event intervals approaching a finite accumulation horizon and apply a declared policy.,ENGINEERING,Implemented + tested,events.detect_zeno
M295,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Hysteresis dwell timer,UGTS-KC 3.0 engineering expansion,Require a guard to remain beyond a threshold for a minimum duration before latching.,ENGINEERING,Implemented + tested,events.DwellHysteresis
M296,UGTS-KC 3.0 engineering expansion,Certified numerics,Event interval enclosure,UGTS-KC 3.0 engineering expansion,"Represent event time as [t_lo,t_hi] plus residual and direction status.",ENGINEERING,Implemented + tested,events.EventInterval
M297,UGTS-KC 3.0 engineering expansion,Certified numerics,Lipschitz root exclusion,UGTS-KC 3.0 engineering expansion,Exclude a root from an interval when the guard magnitude exceeds a valid Lipschitz displacement bound.,ENGINEERING,Implemented + tested,events.lipschitz_excludes_root
M298,UGTS-KC 3.0 engineering expansion,Certified numerics,Interval Newton certification,UGTS-KC 3.0 engineering expansion,Contract a root interval using interval derivative bounds and classify unique/no/unresolved roots.,ENGINEERING,Implemented + tested,events.interval_newton
M299,UGTS-KC 3.0 engineering expansion,Certified numerics,Sturm polynomial root count,UGTS-KC 3.0 engineering expansion,Count distinct real polynomial roots in an interval without sampling sign changes.,ENGINEERING,Implemented + tested,events.sturm_root_count
M300,UGTS-KC 3.0 engineering expansion,Hybrid event calculus,Rollback-safe atomic transition batch,UGTS-KC 3.0 engineering expansion,"Apply a simultaneous transition set to a snapshot, validate invariants, then commit or roll back as one record.",ENGINEERING,Implemented + tested,events.apply_atomic_transition_batch
M301,UGTS-KC 3.0 engineering expansion,Discrete topology,Oriented simplex incidence,UGTS-KC 3.0 engineering expansion,"Signed face incidence of oriented simplices, with mod-2 option.",ENGINEERING,Implemented + tested,topology.oriented_boundary
M302,UGTS-KC 3.0 engineering expansion,Discrete topology,Chain-complex consistency,UGTS-KC 3.0 engineering expansion,Verify boundary composed with boundary is zero.,ENGINEERING,Implemented + tested,topology.boundary_squared_zero
M303,UGTS-KC 3.0 engineering expansion,Discrete topology,Homology Betti vector,UGTS-KC 3.0 engineering expansion,Compute low-dimensional Betti numbers over GF(2) from boundary-matrix ranks.,ENGINEERING,Implemented + tested,topology.betti_numbers
M304,UGTS-KC 3.0 engineering expansion,Persistent topology,Union-find H0 persistence,UGTS-KC 3.0 engineering expansion,Track connected-component births and merges over an edge filtration.,ENGINEERING,Implemented + tested,topology.persistence_h0
M305,UGTS-KC 3.0 engineering expansion,Persistent topology,Persistence barcode interval,UGTS-KC 3.0 engineering expansion,"Store feature birth, death, dimension, representative and confidence.",ENGINEERING,Implemented + tested,topology.PersistenceInterval
M306,UGTS-KC 3.0 engineering expansion,Persistent topology,Persistence-diagram distance,UGTS-KC 3.0 engineering expansion,Bound diagram change with a deterministic greedy matching approximation; exact bottleneck is optional.,ENGINEERING,Prototype + tested,topology.greedy_diagram_distance
M307,UGTS-KC 3.0 engineering expansion,Persistent topology,Vietoris-Rips filtration,UGTS-KC 3.0 engineering expansion,"Create vertices, edges and triangles below scale thresholds for bounded point sets.",ENGINEERING,Implemented + tested,topology.vietoris_rips_complex
M308,UGTS-KC 3.0 engineering expansion,Persistent topology,Alpha-complex proxy,UGTS-KC 3.0 engineering expansion,Use Delaunay-admissible simplices and circumradius thresholds; current reference is a bounded 2D proxy.,ENGINEERING,Prototype + tested,multiscale.alpha_complex_proxy_2d
M309,UGTS-KC 3.0 engineering expansion,Persistent topology,Cubical lower-star filtration,UGTS-KC 3.0 engineering expansion,Order grid cells by maximum incident scalar value and preserve face-before-coface ties.,ENGINEERING,Implemented + tested,topology.cubical_lower_star_order
M310,UGTS-KC 3.0 engineering expansion,Discrete exterior calculus,Discrete Hodge Laplacian,UGTS-KC 3.0 engineering expansion,Assemble combinatorial k-Laplacian from adjacent boundary operators.,ENGINEERING,Implemented + tested,topology.hodge_laplacian_0
M311,UGTS-KC 3.0 engineering expansion,Discrete topology,Harmonic cycle representative,UGTS-KC 3.0 engineering expansion,Represent a persistent cycle by a bounded chain chosen under a declared optimization.,ENGINEERING,Specified,schema topology.representative
M312,UGTS-KC 3.0 engineering expansion,Topology invariant,Winding and linking invariant,UGTS-KC 3.0 engineering expansion,Use winding exactly in 2D and a discretized Gauss linking estimate for separated closed 3D curves.,ENGINEERING,Prototype + tested,topology.gauss_linking_number
M313,UGTS-KC 3.0 engineering expansion,Algebraic topology,Fundamental-group presentation,UGTS-KC 3.0 engineering expansion,Store generators and relations for route classes; simplification is bounded and explicit.,ENGINEERING,Implemented + tested,topology.GroupPresentation
M314,UGTS-KC 3.0 engineering expansion,Covering topology,Covering-space monodromy,UGTS-KC 3.0 engineering expansion,Apply loop-induced permutations to sheet labels.,ENGINEERING,Implemented + tested,topology.apply_monodromy
M315,UGTS-KC 3.0 engineering expansion,Persistent event calculus,Topological change event,UGTS-KC 3.0 engineering expansion,Emit an event when a persistence feature crosses a declared lifetime or confidence threshold.,ENGINEERING,Implemented + tested,topology.persistence_threshold_events
M316,UGTS-KC 3.0 engineering expansion,Symmetry pattern,Wallpaper-group transform set,UGTS-KC 3.0 engineering expansion,"Finite generator set for one of the 17 plane symmetry groups, with bounded lattice window.",ENGINEERING,Prototype + tested,multiscale.wallpaper_p4m_transforms
M317,UGTS-KC 3.0 engineering expansion,Symmetry pattern,Frieze-group transform set,UGTS-KC 3.0 engineering expansion,Finite generator set for strip symmetries over a declared period window.,ENGINEERING,Prototype + tested,multiscale.frieze_p11g_transforms
M318,UGTS-KC 3.0 engineering expansion,Substitution pattern,Penrose substitution system,UGTS-KC 3.0 engineering expansion,Finite-depth thick/thin rhombus substitution with explicit inflation factor and symbol budget.,ENGINEERING,Prototype + tested,multiscale.penrose_count_substitution
M319,UGTS-KC 3.0 engineering expansion,Substitution pattern,Ammann-Beenker substitution system,UGTS-KC 3.0 engineering expansion,Finite-depth square/rhombus substitution counts under an explicit matrix.,ENGINEERING,Prototype + tested,multiscale.ammann_beenker_counts
M320,UGTS-KC 3.0 engineering expansion,Quasiperiodic pattern,Cut-and-project quasicrystal,UGTS-KC 3.0 engineering expansion,Select projected lattice points whose internal-space coordinate lies in a bounded acceptance window.,ENGINEERING,Implemented + tested,multiscale.cut_and_project_1d
M321,UGTS-KC 3.0 engineering expansion,Spatial partition,Voronoi cell field,UGTS-KC 3.0 engineering expansion,Assign each query to its nearest seed with deterministic tie policy.,ENGINEERING,Implemented + tested,multiscale.voronoi_label
M322,UGTS-KC 3.0 engineering expansion,Spatial partition,Delaunay adjacency,UGTS-KC 3.0 engineering expansion,Connect seed pairs sharing an empty-circumcircle simplex in bounded 2D sets.,ENGINEERING,Implemented + tested,multiscale.delaunay_edges_2d
M323,UGTS-KC 3.0 engineering expansion,Spatial relaxation,Centroidal Voronoi relaxation,UGTS-KC 3.0 engineering expansion,Move seeds toward sample-weighted cell centroids with bounded relaxation.,ENGINEERING,Implemented + tested,multiscale.lloyd_step_samples
M324,UGTS-KC 3.0 engineering expansion,Sampling pattern,Poisson-disk sampling,UGTS-KC 3.0 engineering expansion,Deterministic Bridson-style sample generation with minimum-distance and domain contracts.,ENGINEERING,Implemented + tested,multiscale.poisson_disk_2d
M325,UGTS-KC 3.0 engineering expansion,Sampling pattern,Blue-noise spectral criterion,UGTS-KC 3.0 engineering expansion,Report nearest-neighbor and low-frequency occupancy diagnostics rather than claiming perfect blue noise.,ENGINEERING,Implemented + tested,multiscale.blue_noise_diagnostics
M326,UGTS-KC 3.0 engineering expansion,Spatial indexing,Hilbert space-filling index,UGTS-KC 3.0 engineering expansion,Map bounded integer grid coordinates to a locality-preserving 2D Hilbert index.,ENGINEERING,Implemented + tested,multiscale.hilbert_index_2d
M327,UGTS-KC 3.0 engineering expansion,Spatial indexing,Morton / Z-order index,UGTS-KC 3.0 engineering expansion,Interleave coordinate bits under an explicit width.,ENGINEERING,Implemented + tested,multiscale.morton2
M328,UGTS-KC 3.0 engineering expansion,Multiresolution pattern,Haar wavelet basis,UGTS-KC 3.0 engineering expansion,Orthogonal dyadic analysis/synthesis with padding policy.,ENGINEERING,Implemented + tested,multiscale.haar_forward; multiscale.haar_inverse
M329,UGTS-KC 3.0 engineering expansion,Multiresolution pattern,Laplacian pyramid,UGTS-KC 3.0 engineering expansion,Repeated smoothing/downsampling plus residual bands with reconstruction contract.,ENGINEERING,Implemented + tested,multiscale.laplacian_pyramid_1d
M330,UGTS-KC 3.0 engineering expansion,Spectral pattern,Graph Laplacian mode pattern,UGTS-KC 3.0 engineering expansion,Use eigenmodes of a symmetric graph Laplacian as bounded spatial patterns.,ENGINEERING,Prototype + tested,multiscale.jacobi_eigen_symmetric
M331,UGTS-KC 3.0 engineering expansion,Geometric dynamics,Hamiltonian canonical flow,UGTS-KC 3.0 engineering expansion,Advance qdot=partial H/partial p and pdot=-partial H/partial q with a declared integrator.,ENGINEERING,Implemented + tested,dynamics.hamiltonian_symplectic_euler
M332,UGTS-KC 3.0 engineering expansion,Geometric dynamics,Euler-Lagrange flow,UGTS-KC 3.0 engineering expansion,Derive motion from a declared Lagrangian and constraints; symbolic derivation is outside the reference runtime.,ENGINEERING,Specified,schema dynamics.lagrangian
M333,UGTS-KC 3.0 engineering expansion,Geometric dynamics,Discrete variational integrator,UGTS-KC 3.0 engineering expansion,Stationarity of a discrete action produces an update map with momentum structure.,ENGINEERING,Prototype + tested,dynamics.discrete_variational_oscillator
M334,UGTS-KC 3.0 engineering expansion,Numerical dynamics,Implicit midpoint method,UGTS-KC 3.0 engineering expansion,Second-order implicit update solved to a declared residual tolerance.,ENGINEERING,Implemented + tested,dynamics.implicit_midpoint_scalar
M335,UGTS-KC 3.0 engineering expansion,Geometric dynamics,Stormer-Verlet splitting,UGTS-KC 3.0 engineering expansion,Kick-drift-kick splitting for separable Hamiltonians.,ENGINEERING,Implemented + tested,dynamics.stormer_verlet
M336,UGTS-KC 3.0 engineering expansion,Lie-group dynamics,Lie-group orientation integrator,UGTS-KC 3.0 engineering expansion,Update orientation through group multiplication rather than additive matrix drift.,ENGINEERING,Implemented + tested,dynamics.lie_group_quaternion_step
M337,UGTS-KC 3.0 engineering expansion,Constraint dynamics,Projected symplectic integrator,UGTS-KC 3.0 engineering expansion,"Symplectic trial step followed by position and velocity projection, with projection error logged.",ENGINEERING,Implemented + tested,dynamics.projected_symplectic_circle
M338,UGTS-KC 3.0 engineering expansion,Field dynamics,Semi-Lagrangian advection,UGTS-KC 3.0 engineering expansion,Trace characteristics backward and interpolate under a declared boundary policy.,ENGINEERING,Implemented + tested,dynamics.semi_lagrangian_1d
M339,UGTS-KC 3.0 engineering expansion,Field dynamics,Implicit diffusion step,UGTS-KC 3.0 engineering expansion,Solve the backward-Euler tridiagonal diffusion system for stable large time steps.,ENGINEERING,Implemented + tested,dynamics.implicit_diffusion_1d
M340,UGTS-KC 3.0 engineering expansion,Field dynamics,Wave-equation leapfrog,UGTS-KC 3.0 engineering expansion,Centered second-order time update with CFL contract.,ENGINEERING,Implemented + tested,dynamics.wave_leapfrog_1d
M341,UGTS-KC 3.0 engineering expansion,Field dynamics,Reaction-diffusion operator splitting,UGTS-KC 3.0 engineering expansion,Separate diffusion and reaction updates with declared ordering and substeps.,ENGINEERING,Implemented + tested,dynamics.gray_scott_split_1d
M342,UGTS-KC 3.0 engineering expansion,Phase-field dynamics,Allen-Cahn step,UGTS-KC 3.0 engineering expansion,Nonconservative phase relaxation with double-well potential and diffusion.,ENGINEERING,Implemented + tested,dynamics.allen_cahn_step_1d
M343,UGTS-KC 3.0 engineering expansion,Phase-field dynamics,Cahn-Hilliard step,UGTS-KC 3.0 engineering expansion,Conservative phase separation through a chemical-potential Laplacian.,ENGINEERING,Implemented + tested,dynamics.cahn_hilliard_step_1d
M344,UGTS-KC 3.0 engineering expansion,Arrival-time dynamics,Eikonal fast-sweeping update,UGTS-KC 3.0 engineering expansion,Monotone local solution of |grad T|=1/F on a Cartesian grid with positive speed.,ENGINEERING,Implemented + tested,dynamics.fast_sweeping_eikonal
M345,UGTS-KC 3.0 engineering expansion,Certified numerics,Interval scalar arithmetic,UGTS-KC 3.0 engineering expansion,Outward-safe interval operations for bounded reference calculations.,ENGINEERING,Implemented + tested,uncertainty.Interval
M346,UGTS-KC 3.0 engineering expansion,Certified numerics,Interval vector-norm bound,UGTS-KC 3.0 engineering expansion,Lower and upper bounds for Euclidean norm from component intervals.,ENGINEERING,Implemented + tested,uncertainty.interval_norm_bounds
M347,UGTS-KC 3.0 engineering expansion,Uncertainty calculus,Affine uncertainty form,UGTS-KC 3.0 engineering expansion,First-order correlated uncertainty representation with interval remainder.,ENGINEERING,Prototype + tested,uncertainty.AffineForm
M348,UGTS-KC 3.0 engineering expansion,Uncertainty calculus,Covariance propagation,UGTS-KC 3.0 engineering expansion,Linearized covariance update P_next=F P F^T + Q.,ENGINEERING,Implemented + tested,uncertainty.propagate_covariance
M349,UGTS-KC 3.0 engineering expansion,Uncertainty calculus,Unscented sigma-point propagation,UGTS-KC 3.0 engineering expansion,"Deterministic nonlinear moment approximation under declared alpha, beta and kappa.",ENGINEERING,Implemented + tested,uncertainty.unscented_transform_scalar
M350,UGTS-KC 3.0 engineering expansion,Reproducibility,Deterministic Monte Carlo seed contract,UGTS-KC 3.0 engineering expansion,"Key pseudo-random streams by schema, lineage, mechanism and sample index.",ENGINEERING,Implemented + tested,uncertainty.deterministic_samples
M351,UGTS-KC 3.0 engineering expansion,Numerical policy,Floating-point tolerance policy,UGTS-KC 3.0 engineering expansion,"Centralize absolute, relative, time, guard and topology tolerances in the world schema.",ENGINEERING,Implemented + tested,uncertainty.TolerancePolicy
M352,UGTS-KC 3.0 engineering expansion,Reproducibility,Deterministic reduction tree,UGTS-KC 3.0 engineering expansion,Pairwise reduction with a fixed tree independent of thread scheduling.,ENGINEERING,Implemented + tested,uncertainty.deterministic_pairwise_sum
M353,UGTS-KC 3.0 engineering expansion,Reproducibility,Canonical serialization hash,UGTS-KC 3.0 engineering expansion,"Hash normalized JSON with sorted keys, finite-number checks and schema version.",ENGINEERING,Implemented + tested,uncertainty.canonical_json_hash
M354,UGTS-KC 3.0 engineering expansion,Reproducibility,Event-log Merkle chain,UGTS-KC 3.0 engineering expansion,"Chain event hashes to detect omission, reordering or mutation.",ENGINEERING,Implemented + tested,uncertainty.merkle_event_chain
M355,UGTS-KC 3.0 engineering expansion,Reproducibility,Replay checkpoint,UGTS-KC 3.0 engineering expansion,"Snapshot state, schema hash and event-chain head for bounded rollback/replay.",ENGINEERING,Implemented + tested,uncertainty.make_checkpoint
M356,UGTS-KC 3.0 engineering expansion,Verification,Error-budget ledger,UGTS-KC 3.0 engineering expansion,"Allocate and aggregate modeling, discretization, quantization, solver and measurement error.",ENGINEERING,Implemented + tested,uncertainty.ErrorBudget
M357,UGTS-KC 3.0 engineering expansion,Runtime ABI,Structure-of-arrays jet-state ABI,UGTS-KC 3.0 engineering expansion,"Separate position, velocity, acceleration, topology and uncertainty streams with versioned strides.",ENGINEERING,Specified + schema,schema abi.jet_soa
M358,UGTS-KC 3.0 engineering expansion,Runtime ABI,Compact contact-event record,UGTS-KC 3.0 engineering expansion,"Bounded record carrying time interval, contact IDs, normal, impulse, status and lineage hash.",ENGINEERING,Specified + schema,schema event.contact
M359,UGTS-KC 3.0 engineering expansion,GPU runtime,Prefix-scan event compaction contract,UGTS-KC 3.0 engineering expansion,"Predicate, exclusive scan and stable scatter of verified events with overflow accounting.",ENGINEERING,Specified,gpu contract
M360,UGTS-KC 3.0 engineering expansion,Runtime governance,Capability manifest and fallback routing,UGTS-KC 3.0 engineering expansion,"Declare supported mechanisms, precision, certification level and deterministic fallback path.",ENGINEERING,Implemented + tested,io.capability_manifest
